"RMSE","Coverage","Interval length","n","run","Chains"
0.351608502030341,0.98,1.54078325548486,100,1,1
0.355908095486268,0.98,1.49974241357939,100,1,8
0.344717082554542,0.985,1.49473723526622,100,1,30
0.420695897102467,0.955,1.61177632290879,100,2,1
0.42475217585303,0.955,1.59094653480565,100,2,8
0.45086059538858,0.93,1.63676326556661,100,2,30
0.400181962041331,0.945,1.57680731150639,100,3,1
0.411838715222484,0.945,1.58811598095321,100,3,8
0.411412039360635,0.945,1.58225603044568,100,3,30
0.460193194808226,0.945,1.7362548284905,100,4,1
0.482834710164409,0.94,1.81754008929089,100,4,8
0.453169082440188,0.95,1.75618596197549,100,4,30
0.355990717356888,0.97,1.52704021720541,100,5,1
0.36741894925968,0.96,1.60684538497623,100,5,8
0.370583733698085,0.975,1.60584557829691,100,5,30
0.404141906821043,0.93,1.43962972176982,100,6,1
0.391100404064026,0.95,1.48821753495352,100,6,8
0.386222703754709,0.95,1.50561190419679,100,6,30
0.473381686952534,0.915,1.60927737622254,100,7,1
0.463681828840073,0.95,1.65604305726293,100,7,8
0.456795351421808,0.935,1.65353013446042,100,7,30
0.50193427029847,0.915,1.58992349566096,100,8,1
0.477156978038887,0.925,1.6443506746924,100,8,8
0.475973636375289,0.945,1.72845934098222,100,8,30
0.434199542867491,0.965,1.51709967851899,100,9,1
0.425597688422771,0.96,1.52813519779081,100,9,8
0.428104710847427,0.96,1.53522146189892,100,9,30
0.468879729755288,0.925,1.61802586464738,100,10,1
0.474402575243317,0.925,1.61641031201195,100,10,8
0.484868223842533,0.915,1.60804816575878,100,10,30
0.217623559541572,0.92,0.784137753552482,500,1,1
0.213847338669992,0.93,0.778690207378126,500,1,8
0.21452902286137,0.92,0.78667686733579,500,1,30
0.199163089075334,0.915,0.737348713020075,500,2,1
0.197859674129816,0.93,0.768865613283238,500,2,8
0.197969846900031,0.935,0.766814221776302,500,2,30
0.205272355544544,0.935,0.823334259514869,500,3,1
0.204015258298657,0.94,0.815399327440486,500,3,8
0.198505152862128,0.95,0.814261853082973,500,3,30
0.240036559658592,0.905,0.820191926948486,500,4,1
0.241504579072417,0.91,0.869664922837752,500,4,8
0.237625388990295,0.945,0.879414876510234,500,4,30
0.240574766096495,0.905,0.824820785635411,500,5,1
0.242351610911219,0.91,0.812323307929254,500,5,8
0.239373704035792,0.915,0.827993169416381,500,5,30
0.217838160908631,0.895,0.744145680647239,500,6,1
0.211407822468783,0.92,0.756008051281722,500,6,8
0.213250126519207,0.915,0.758908972160007,500,6,30
0.21049184336462,0.94,0.796780810724023,500,7,1
0.205237664859002,0.945,0.826488755581278,500,7,8
0.20483593656988,0.955,0.826341042783545,500,7,30
0.201301801551393,0.93,0.752667559259662,500,8,1
0.202538321965322,0.925,0.74883736657555,500,8,8
0.203427252354695,0.945,0.773559141599961,500,8,30
0.200649711655875,0.915,0.788318615537048,500,9,1
0.187167550635746,0.935,0.800166536629101,500,9,8
0.192800869158902,0.915,0.790528244814067,500,9,30
0.224506808898545,0.96,0.772418974612251,500,10,1
0.227552300089422,0.97,0.798562116241694,500,10,8
0.224033417666076,0.97,0.801244226987621,500,10,30
0.151571502710315,0.79,0.408060312248973,2000,1,1
0.148552329587358,0.83,0.405003014603495,2000,1,8
0.149419560358876,0.82,0.41945042884754,2000,1,30
0.161610155577126,0.76,0.359775377414764,2000,2,1
0.159199334318981,0.815,0.380589529742901,2000,2,8
0.157850693706595,0.81,0.393217053825785,2000,2,30
0.158528091693706,0.725,0.393186021856862,2000,3,1
0.157429396996732,0.745,0.392414373679029,2000,3,8
0.160743202361777,0.76,0.403916797994845,2000,3,30
0.172681667142667,0.705,0.373031308026658,2000,4,1
0.169841379959858,0.705,0.38718007238795,2000,4,8
0.171299102341818,0.73,0.39739837032041,2000,4,30
0.160987133415575,0.785,0.414080255600367,2000,5,1
0.163131830289557,0.77,0.419849978095513,2000,5,8
0.159709270896076,0.78,0.415681053883007,2000,5,30
0.141569342014092,0.755,0.36751223841564,2000,6,1
0.140820899445971,0.775,0.37886145817895,2000,6,8
0.141361063698936,0.78,0.385002796134736,2000,6,30
0.15830431563487,0.715,0.383218872476919,2000,7,1
0.154366507392548,0.775,0.409881212968796,2000,7,8
0.154953560627798,0.755,0.413955948442506,2000,7,30
0.146561832458618,0.76,0.385136321741702,2000,8,1
0.146472169689715,0.835,0.41689627818474,2000,8,8
0.146408453848014,0.815,0.417159195650251,2000,8,30
0.168282856154505,0.77,0.385895987584863,2000,9,1
0.167262112388588,0.775,0.395558786270062,2000,9,8
0.167434427798177,0.76,0.395327405602132,2000,9,30
0.156432467032602,0.765,0.402554782774713,2000,10,1
0.146748395482944,0.775,0.408666883861211,2000,10,8
0.145648697390334,0.795,0.416802901667294,2000,10,30
