"RMSE","Coverage","Interval length","n","run","Chains"
0.463263957566487,0.69,0.998461452499138,100,1,1
0.463306468915808,0.72,0.997405219255415,100,1,8
0.461837386777363,0.71,0.994826176464235,100,1,20
0.468612975855233,0.65,0.951731808241683,100,2,1
0.467499256140001,0.64,0.953421340496669,100,2,8
0.468269478760948,0.63,0.95796227261108,100,2,20
0.501730427352957,0.645,0.995627019753147,100,3,1
0.502582322742197,0.635,0.996265108368402,100,3,8
0.502823565824146,0.64,0.999550092363495,100,3,20
0.48393636241484,0.645,0.992739143543348,100,4,1
0.483976372267588,0.635,0.990777845282185,100,4,8
0.482833383468818,0.655,0.997519836218528,100,4,20
0.537907308460573,0.635,1.01136327771279,100,5,1
0.535923909034167,0.645,1.02444603880833,100,5,8
0.537891557519506,0.635,1.01358919820233,100,5,20
0.4723292991302,0.69,0.976775679583011,100,6,1
0.473354755905368,0.69,0.981429405213727,100,6,8
0.471928275461097,0.68,0.971777539168208,100,6,20
0.47101490173855,0.645,0.948724117723747,100,7,1
0.470154451345023,0.645,0.952981562247378,100,7,8
0.470856369915413,0.625,0.954254487037499,100,7,20
0.467094086638865,0.705,1.03815017902225,100,8,1
0.467020072711193,0.685,1.03004410366643,100,8,8
0.468196093042958,0.71,1.04459086699126,100,8,20
0.499984266806806,0.52,0.852988204992095,100,9,1
0.502054076883693,0.52,0.855295910949787,100,9,8
0.500434650657384,0.52,0.848918632766171,100,9,20
0.498733009244381,0.765,1.24118635803407,100,10,1
0.498890690030365,0.775,1.22072833198678,100,10,8
0.500748560214865,0.775,1.23343755253466,100,10,20
0.480652386428246,0.38,0.703745277915834,1000,1,1
0.480435588879212,0.395,0.702180334803694,1000,1,8
0.48162906195264,0.38,0.702217451323426,1000,1,20
0.467533929857447,0.305,0.66324556157887,1000,2,1
0.469261426038279,0.305,0.664369010778722,1000,2,8
0.46946759906797,0.305,0.664152608662294,1000,2,20
0.482860838224439,0.36,0.701445441018806,1000,3,1
0.481995204419225,0.365,0.704973545562616,1000,3,8
0.481466310949214,0.38,0.704307798347714,1000,3,20
0.462669673796587,0.39,0.661102871661903,1000,4,1
0.464704284211711,0.38,0.661395059887802,1000,4,8
0.464127687737113,0.41,0.663741249031895,1000,4,20
0.454515364964271,0.405,0.68597411092613,1000,5,1
0.451937262293463,0.395,0.681709940626355,1000,5,8
0.455090424790934,0.4,0.684583162529971,1000,5,20
0.476538155860945,0.355,0.652049576879901,1000,6,1
0.478148361516637,0.345,0.653038212203699,1000,6,8
0.476918839841808,0.34,0.648227149938841,1000,6,20
0.458512235740434,0.355,0.66335432248282,1000,7,1
0.458891353631841,0.37,0.665614378661166,1000,7,8
0.456471870061897,0.35,0.66293136711754,1000,7,20
0.475623570937236,0.325,0.645198572312256,1000,8,1
0.47511379228417,0.31,0.642737491706959,1000,8,8
0.475030403854119,0.335,0.653142629325827,1000,8,20
0.468897788521901,0.355,0.671540360058506,1000,9,1
0.469362168866609,0.36,0.67258856808232,1000,9,8
0.471442765097193,0.355,0.6730949609386,1000,9,20
0.456718482536042,0.385,0.65692639721229,1000,10,1
0.455330433486145,0.37,0.661089918724074,1000,10,8
0.456849680407066,0.375,0.657878952492104,1000,10,20
0.467985470407653,0.075,0.371762160399365,10000,1,1
0.466611481157075,0.07,0.388061186153002,10000,1,8
0.465208897421782,0.07,0.385459296777081,10000,1,20
0.455551706078157,0.09,0.356320783890657,10000,2,1
0.459330133437691,0.085,0.364670212566923,10000,2,8
0.4579595332856,0.1,0.360852054289965,10000,2,20
0.459377102589598,0.085,0.358236312538871,10000,3,1
0.456911444209711,0.08,0.373092145161046,10000,3,8
