"RMSE","Coverage","Interval length","n","run","Chains"
1.95200606175269,0.876,5.78052696131928,100,1,1
1.97613447317689,0.874,5.77030463103799,100,1,8
1.96090044722363,0.89,5.8017149323518,100,1,20
1.69619028890941,0.962,6.97936339816321,100,2,1
1.70200410075659,0.958,6.93023268891815,100,2,8
1.70660159935533,0.97,6.95614575630787,100,2,20
2.03863586392137,0.812,5.68931985144514,100,3,1
2.04956457949805,0.816,5.69741859370151,100,3,8
2.0477752665538,0.824,5.72956105945938,100,3,20
1.85449958099299,0.884,5.66789593499564,100,4,1
1.85135177256096,0.89,5.67535455533295,100,4,8
1.84311961605696,0.878,5.67813332105376,100,4,20
2.00230251703423,0.84,6.05702280122871,100,5,1
1.99469871662316,0.844,6.02700651377282,100,5,8
1.99641912689182,0.85,6.03274075154219,100,5,20
1.87544853139502,0.852,5.82284875805225,100,6,1
1.88906222136774,0.854,5.8357249819327,100,6,8
1.89552372201823,0.852,5.84337536017854,100,6,20
2.1850671664752,0.886,6.63759074118702,100,7,1
2.1763382391479,0.884,6.55800034150646,100,7,8
2.18309441127534,0.896,6.6087000515494,100,7,20
1.93131322255196,0.774,4.95912443401155,100,8,1
1.932354549475,0.778,4.96656709696506,100,8,8
1.94313814219725,0.76,4.95975839032199,100,8,20
2.11569663169296,0.808,5.75508156204021,100,9,1
2.09841634566539,0.81,5.71524935710174,100,9,8
2.12175383161867,0.81,5.79288933180422,100,9,20
1.79260151527365,0.928,6.47889226224769,100,10,1
1.79262104483291,0.924,6.52827254124836,100,10,8
1.78721308284144,0.922,6.46951177707183,100,10,20
1.67608105887793,0.724,3.69004526527784,1000,1,1
1.66398004470146,0.718,3.69624335375072,1000,1,8
1.64503934182586,0.732,3.75250051850982,1000,1,20
1.56286976849615,0.81,4.20714133815701,1000,2,1
1.56295000131435,0.832,4.28296949714834,1000,2,8
1.56175086441446,0.818,4.26908218022185,1000,2,20
1.67846499645948,0.762,3.79601272428698,1000,3,1
1.66736800913376,0.758,3.80522757809008,1000,3,8
1.65496103960375,0.77,3.85005758439262,1000,3,20
1.54821940497978,0.764,3.6052269770577,1000,4,1
1.53568665686754,0.772,3.69669679398307,1000,4,8
1.53685781066666,0.76,3.67678490550654,1000,4,20
1.64661809622183,0.758,3.85179415393236,1000,5,1
1.65548697035669,0.766,3.93509022558183,1000,5,8
1.64805863172413,0.77,3.9204572711157,1000,5,20
1.45798608527445,0.806,3.81924149959035,1000,6,1
1.45419562753398,0.818,3.82767689625213,1000,6,8
1.45304811943011,0.804,3.78428341142914,1000,6,20
1.64469785329719,0.796,4.20814744323481,1000,7,1
1.62922194584864,0.814,4.37030869433496,1000,7,8
1.6387925002122,0.8,4.38896320021302,1000,7,20
1.53126712658094,0.784,3.81504925126489,1000,8,1
1.51238943075188,0.802,3.87814187663903,1000,8,8
1.50522478142757,0.802,3.89685411769695,1000,8,20
1.55894343604505,0.79,4.00933158021471,1000,9,1
1.50722020579785,0.812,4.09396106873644,1000,9,8
1.51219274994834,0.818,4.11625633807832,1000,9,20
1.45349086429231,0.81,3.71236137112189,1000,10,1
1.45475094914571,0.812,3.72112064826815,1000,10,8
1.45293548275945,0.824,3.77286746028259,1000,10,20
1.05983709684628,0.682,1.74385861357417,10000,1,1
1.05269238673233,0.774,2.31911279241224,10000,1,8
1.04908983676308,0.78,2.45990783312511,10000,1,20
1.04268337832457,0.598,1.66584997010175,10000,2,1
0.98150438459866,0.756,2.30557664839118,10000,2,8
0.986512897793099,0.79,2.40450456196292,10000,2,20
1.0091586542395,0.632,1.75201835314,10000,3,1
1.00336660184412,0.77,2.35184330801434,10000,3,8
0.991990247505457,0.796,2.49206349964548,10000,3,20
0.89662117075976,0.662,1.74123113833918,10000,4,1
0.875002042758567,0.792,2.28895744961059,10000,4,8
0.876283225378114,0.826,2.44020136268966,10000,4,20
1.16593547157614,0.564,1.74673806021763,10000,5,1
1.1209563245414,0.718,2.42192940274251,10000,5,8
1.10312917381357,0.776,2.5923974581866,10000,5,20
1.11154903082962,0.632,1.84597931893924,10000,6,1
1.0673269803604,0.76,2.42622380222911,10000,6,8
1.04608019185068,0.802,2.60626514189991,10000,6,20
1.28396591935009,0.55,1.77526474011668,10000,7,1
1.18989187157729,0.72,2.43182753147331,10000,7,8
1.17767015557642,0.76,2.56997189253354,10000,7,20
1.07572460659904,0.594,1.81290404507391,10000,8,1
1.05552970090891,0.688,2.28935783859069,10000,8,8
1.04712858045622,0.742,2.45939637979009,10000,8,20
1.16385617657726,0.54,1.7523202695507,10000,9,1
1.10320294889118,0.71,2.33875524743359,10000,9,8
1.09421374470713,0.726,2.50422991919808,10000,9,20
1.03177414682695,0.632,1.67228550006956,10000,10,1
0.969424346191239,0.79,2.18685195142486,10000,10,8
0.97044197320372,0.804,2.2952687924603,10000,10,20
